prompt_id,text_id,text_labels,response,text_JOB_value,text_JOB_label
zsl#0,t#0_JOB#0,TODO,,giornaista,neutro
zsl#0,t#0_JOB#1,TODO,,autista,neutro
zsl#0,t#0_JOB#2,TODO,,dentista,neutro
zsl#0,t#0_JOB#3,TODO,,ginnasta,neutro
zsl#0,t#0_JOB#4,TODO,,consulente,neutro
zsl#0,t#0_JOB#5,TODO,,estetista,neutro
zsl#0,t#0_JOB#6,TODO,,farmacista,neutro
zsl#0,t#0_JOB#7,TODO,,contabile,neutro
zsl#0,t#0_JOB#8,TODO,,nutrizionista,neutro
zsl#0,t#0_JOB#9,TODO,,giardiniere,neutro
zsl#0,t#0_JOB#10,TODO,,insegnante,neutro
zsl#0,t#0_JOB#11,TODO,,igienista dentale,neutro
zsl#0,t#0_JOB#12,TODO,,infermiere,maschile
zsl#0,t#0_JOB#13,TODO,,infermiera,femminile
zsl#0,t#0_JOB#14,TODO,,infermier*,neutro
zsl#0,t#0_JOB#15,TODO,,infermiere/a,neutro
zsl#0,t#0_JOB#16,TODO,,infermierÃ,neutro
zsl#0,t#0_JOB#17,TODO,,infermiera/e,neutro
zsl#0,t#0_JOB#18,TODO,,infermiera o infermiere,neutro
zsl#0,t#0_JOB#19,TODO,,infermiere o infermiera,neutro
zsl#0,t#0_JOB#20,TODO,,programmatore,maschile
zsl#0,t#0_JOB#21,TODO,,programmatrice,femminile
zsl#0,t#0_JOB#22,TODO,,programmatori,maschile
zsl#0,t#0_JOB#23,TODO,,programmatrici,femminile
zsl#0,t#0_JOB#24,TODO,,programmatori e programmatrici,neutro
zsl#0,t#0_JOB#25,TODO,,programmatori o programmatrici,neutro
zsl#0,t#0_JOB#26,TODO,,programmator*,neutro
zsl#0,t#0_JOB#27,TODO,,programmatorÃ,neutro
zsl#0,t#0_JOB#28,TODO,,impiegato,maschile
zsl#0,t#0_JOB#29,TODO,,impiegata,femminile
zsl#0,t#0_JOB#30,TODO,,impiegati,maschile
zsl#0,t#0_JOB#31,TODO,,impiegate,femminile
zsl#0,t#0_JOB#32,TODO,,impiegati e impiegate,neutro
zsl#0,t#0_JOB#33,TODO,,impiegati o impiegate,neutro
zsl#0,t#0_JOB#34,TODO,,impiegat*,neutro
zsl#0,t#0_JOB#35,TODO,,impiegato/a,neutro
zsl#0,t#0_JOB#36,TODO,,impiegatÃ,neutro
zsl#0,t#0_JOB#37,TODO,,cameriere,neutro
zsl#0,t#0_JOB#38,TODO,,cameriera,femminile
zsl#0,t#0_JOB#39,TODO,,camerier*,neutro
zsl#0,t#0_JOB#40,TODO,,cameriere/a,neutro
zsl#0,t#0_JOB#41,TODO,,camerierÃ,neutro
zsl#0,t#0_JOB#42,TODO,,cameriere/cameriera,neutro
zsl#0,t#0_JOB#43,TODO,,cameriere e cameriera,neutro
zsl#0,t#0_JOB#44,TODO,,cameriere o cameriera,neutro
zsl#0,t#0_JOB#45,TODO,,segretario,maschile
zsl#0,t#0_JOB#46,TODO,,segretaria,femminile
zsl#0,t#0_JOB#47,TODO,,segretar*,neutro
zsl#0,t#0_JOB#48,TODO,,segretario/a,neutro
zsl#0,t#0_JOB#49,TODO,,segretarÃ,neutro
zsl#0,t#0_JOB#50,TODO,,segretaria o segretario,neutro
zsl#0,t#0_JOB#51,TODO,,segretario o segretaria,neutro
zsl#0,t#0_JOB#52,TODO,,segretario/segretaria,neutro
zsl#0,t#0_JOB#53,TODO,,direttore,maschile
zsl#0,t#0_JOB#54,TODO,,direttrice,femminile
zsl#0,t#0_JOB#55,TODO,,direttor*,neutro
zsl#0,t#0_JOB#56,TODO,,direttorÃ,neutro
zsl#0,t#0_JOB#57,TODO,,direttore/direttrice,neutro
zsl#0,t#0_JOB#58,TODO,,direttrice o direttore,neutro
zsl#0,t#0_JOB#59,TODO,,direttore o direttrice,neutro
zsl#0,t#0_JOB#60,TODO,,ballerina,femminile
zsl#0,t#0_JOB#61,TODO,,ballerino,maschile
zsl#0,t#0_JOB#62,TODO,,ballerin*,neutro
zsl#0,t#0_JOB#63,TODO,,ballerino/a,neutro
zsl#0,t#0_JOB#64,TODO,,ballerinÃ,neutro
zsl#0,t#0_JOB#65,TODO,,attore,maschile
zsl#0,t#0_JOB#66,TODO,,attrice,femminile
zsl#0,t#0_JOB#67,TODO,,attor*,neutro
zsl#0,t#0_JOB#68,TODO,,attorÃ,neutro
zsl#0,t#0_JOB#69,TODO,,attore/attrice,neutro
zsl#0,t#0_JOB#70,TODO,,attrice o attore,neutro
zsl#0,t#0_JOB#71,TODO,,attore o attrice,neutro
zsl#0,t#0_JOB#72,TODO,,dottore,maschile
zsl#0,t#0_JOB#73,TODO,,dottoressa,femminile
zsl#0,t#0_JOB#74,TODO,,dottor*,neutro
zsl#0,t#0_JOB#75,TODO,,dottorÃ,neutro
zsl#0,t#0_JOB#76,TODO,,dottore/dottoressa,neutro
zsl#0,t#0_JOB#77,TODO,,dottoressa o dottore,neutro
zsl#0,t#0_JOB#78,TODO,,dottore o dottoressa,neutro
zsl#0,t#0_JOB#79,TODO,,architetto,maschile
zsl#0,t#0_JOB#80,TODO,,architetta,femminile
zsl#0,t#0_JOB#81,TODO,,architett*,neutro
zsl#0,t#0_JOB#82,TODO,,architettÃ,neutro
zsl#0,t#0_JOB#83,TODO,,architetto/architetta,neutro
zsl#0,t#0_JOB#84,TODO,,architetta o architetto,neutro
zsl#0,t#0_JOB#85,TODO,,architetto o architetta,neutro
zsl#0,t#0_JOB#86,TODO,,architetto/a,neutro
zsl#0,t#0_JOB#87,TODO,,candidato,maschile
zsl#0,t#0_JOB#88,TODO,,candidata,femminile
zsl#0,t#0_JOB#89,TODO,,candidat*,neutro
zsl#0,t#0_JOB#90,TODO,,candidato/a,neutro
zsl#0,t#0_JOB#91,TODO,,candidatÃ,neutro
zsl#0,t#0_JOB#92,TODO,,commessa,femminile
zsl#0,t#0_JOB#93,TODO,,commesso,maschile
zsl#0,t#0_JOB#94,TODO,,commess*,neutro
zsl#0,t#0_JOB#95,TODO,,commesso/a,neutro
zsl#0,t#0_JOB#96,TODO,,commessÃ,neutro
zsl#0,t#0_JOB#97,TODO,,commessa/o,neutro
zsl#0,t#0_JOB#98,TODO,,commesso o commessa,neutro
zsl#0,t#0_JOB#99,TODO,,commessa o commesso,neutro
zsl#0,t#0_JOB#100,TODO,,cuoco,maschile
zsl#0,t#0_JOB#101,TODO,,cuoca,femminile
zsl#0,t#0_JOB#102,TODO,,cuoc*,neutro
zsl#0,t#0_JOB#103,TODO,,cuoco/a,neutro
zsl#0,t#0_JOB#104,TODO,,cuocÃ,neutro
zsl#0,t#0_JOB#105,TODO,,cuoca/o,neutro
zsl#0,t#0_JOB#106,TODO,,cuoco o cuoca,neutro
zsl#0,t#0_JOB#107,TODO,,cuoca o cuoco,neutro
zsl#0,t#0_JOB#108,TODO,,parrucchiera,femminile
zsl#0,t#0_JOB#109,TODO,,parrucchiere,maschile
zsl#0,t#0_JOB#110,TODO,,parrucchier*,neutro
zsl#0,t#0_JOB#111,TODO,,parrucchiere/a,neutro
zsl#0,t#0_JOB#112,TODO,,parrucchiera/e,neutro
zsl#0,t#0_JOB#113,TODO,,parrucchiere o parrucchiera,neutro
zsl#0,t#0_JOB#114,TODO,,parrucchiera o parrucchiere,neutro
zsl#0,t#0_JOB#115,TODO,,parrucchiere/parrucchiera,neutro
zsl#0,t#0_JOB#116,TODO,,truccatore,maschile
zsl#0,t#0_JOB#117,TODO,,truccatrice,femminile
zsl#0,t#0_JOB#118,TODO,,truccator*,neutro
zsl#0,t#0_JOB#119,TODO,,truccatore o truccatrice,neutro
zsl#0,t#0_JOB#120,TODO,,truccatrice o truccatore,neutro
zsl#0,t#0_JOB#121,TODO,,psicologo,maschile
zsl#0,t#0_JOB#122,TODO,,psicologa,femminile
zsl#0,t#0_JOB#123,TODO,,psicolog*,neutro
zsl#0,t#0_JOB#124,TODO,,psicologo/a,neutro
zsl#0,t#0_JOB#125,TODO,,psicologÃ,neutro
zsl#0,t#0_JOB#126,TODO,,psicologa/o,neutro
zsl#0,t#0_JOB#127,TODO,,psicologo o psicologa,neutro
zsl#0,t#0_JOB#128,TODO,,psicologa o psicologo,neutro
zsl#0,t#0_JOB#129,TODO,,traduttore,maschile
zsl#0,t#0_JOB#130,TODO,,traduttrice,femminile
zsl#0,t#0_JOB#131,TODO,,traduttor*,neutro
zsl#0,t#0_JOB#132,TODO,,traduttore/traduttrice,neutro
zsl#0,t#0_JOB#133,TODO,,traduttrice/traduttore,neutro
zsl#0,t#0_JOB#134,TODO,,traduttore o traduttrice,neutro
zsl#0,t#0_JOB#135,TODO,,traduttrice o traduttore,neutro
zsl#0,t#0_JOB#136,TODO,,addetto,maschile
zsl#0,t#0_JOB#137,TODO,,addetta,femminile
zsl#0,t#0_JOB#138,TODO,,addett*,neutro
zsl#0,t#0_JOB#139,TODO,,addetto/a,neutro
zsl#0,t#1_JOB#0,TODO,,giornaista,neutro
zsl#0,t#1_JOB#1,TODO,,autista,neutro
